"","handle","followers"
"1","justinbieber","113 950 935 "
"2","katyperry","108 951 616 "
"3","taylorswift13","88 546 612 "
"4","ladygaga","83 702 337 "
"5","ArianaGrande","83 284 130 "
"6","TheEllenShow","78 287 909 "
"7","KimKardashian","69 692 934 "
"8","selenagomez","64 857 476 "
"9","jtimberlake","63 595 065 "
"10","elonmusk","56 871 327 "
"11","britneyspears","55 574 800 "
"12","BillGates","55 037 062 "
"13","jimmyfallon","51 434 659 "
"14","KingJames","49 668 799 "
"15","MileyCyrus","46 278 037 "
"16","JLo","45 016 729 "
"17","Oprah","43 268 795 "
"18","BrunoMars","43 147 465 "
"19","KylieJenner","38 616 781 "
"20","KevinHart4real","36 678 242 "
"21","wizkhalifa","36 337 955 "
"22","LilTunechi","34 834 793 "
"23","chrisbrown","32 360 484 "
"24","Pink","31 696 555 "
"25","KendallJenner","31 385 668 "
"26","kanyewest","30 417 619 "
"27","aliciakeys","30 096 466 "
"28","khloekardashian","29 321 202 "
"29","ConanOBrien","28 491 621 "
"30","kourtneykardash","25 949 057 "
"31","ActuallyNPH","25 895 406 "
"32","pitbull","25 283 497 "
"33","danieltosh","24 551 787 "
"34","Eminem","22 604 900 "
"35","NICKIMINAJ","22 268 466 "
"36","MariahCarey","21 634 538 "
"37","MichelleObama","20 696 080 "
"38","blakeshelton","19 953 311 "
"39","LeoDiCaprio","19 402 062 "
"40","StephenAtHome","19 260 959 "
"41","SnoopDogg","19 228 608 "
"42","KDTrey5","18 999 929 "
"43","Zendaya","18 985 902 "
"44","JimCarrey","18 705 720 "
"45","iamcardib","18 326 415 "
"46","VancityReynolds","17 655 584 "
"47","aplusk","17 302 190 "
"48","ParisHilton","16 810 028 "
"49","xtina","16 734 896 "
"50","tomhanks","16 464 351 "
"51","RobertDowneyJr","16 378 819 "
"52","Beyonce","15 564 896 "
"53","SHAQ","15 513 891 "
"54","Diddy","15 505 247 "
"55","ZacEfron","15 469 381 "
"56","StephenCurry30","15 287 247 "
"57","TheRock","15 241 917 "
"58","RyanSeacrest","15 162 925 "
"59","kobebryant","15 150 712 "
"60","camerondallas","15 116 869 "
"61","ChrisEvans","14 885 413 "
"62","neiltyson","14 535 997 "
"63","BigSean","14 351 229 "
"64","nickjonas","14 347 318 "
"65","maroon5","14 316 733 "
"66","halsey","14 198 810 "
"67","JColeNC","14 035 550 "
"68","tyrabanks","13 989 903 "
"69","johnlegend","13 927 262 "
"70","TreySongz","13 861 812 "
"71","SethMacFarlane","13 797 689 "
"72","chrissyteigen","13 581 303 "
"73","JohnCena","13 029 588 "
"74","tim_cook","12 947 635 "
"75","50cent","12 615 745 "
"76","ashleytisdale","12 491 989 "
"77","SarahKSilverman","12 352 088 "
"78","iamwill","12 185 497 "
"79","kellyclarkson","12 140 561 "
"80","Usher","12 036 864 "
"81","KrisJenner","11 930 199 "
"82","jimmykimmel","11 921 295 "
"83","mindykaling","11 663 031 "
"84","ciara","11 518 413 "
"85","kendricklamar","11 456 100 "
"86","Ludacris","11 403 156 "
"87","MarcAnthony","11 304 573 "
"88","billmaher","10 985 247 "
"89","trvisXX","10 878 765 "
"90","MeekMill","10 833 170 "
"91","serenawilliams","10 735 841 "
"92","Pharrell","10 710 596 "
"93","charliesheen","10 555 148 "
"94","maddow","10 547 649 "
"95","GiGiHadid","10 363 605 "
"96","IvankaTrump","10 238 370 "
"97","azizansari","10 221 099 "
"98","joejonas","10 113 530 "
"99","andersoncooper","10 073 936 "
"100","JoelOsteen","10 053 775 "
"101","VictoriaJustice","10 040 151 "
"102","LanaDelRey","9 785 202 "
"103","DwyaneWade","9 532 727 "
"104","LukeBryanOnline","9 417 244 "
"105","gucci1017","9 258 116 "
"106","carmeloanthony","9 180 315 "
"107","Tip","9 146 952 "
"108","AustinMahone","9 135 222 "
"109","SamuelLJackson","8 802 209 "
"110","jessicaalba","8 737 884 "
"111","SteveMartinToGo","8 678 603 "
"112","tylerthecreator","8 601 355 "
"113","MariaSharapova","8 513 821 "
"114","mcuban","8 475 575 "
"115","AdamSchefter","8 399 053 "
"116","lindsaylohan","8 321 415 "
"117","CP3","8 276 418 "
"118","carrieunderwood","8 243 195 "
"119","chancetherapper","8 215 150 "
"120","steveaoki","8 210 112 "
"121","jaden","8 068 711 "
"122","MacMiller","8 062 493 "
"123","adamlevine","8 036 637 "
"124","IAMQUEENLATIFAH","8 010 837 "
"125","prattprattpratt","7 905 433 "
"126","chelseahandler","7 900 538 "
"127","FloydMayweather","7 893 964 "
"128","TripleH","7 520 887 "
"129","MarkRuffalo","7 517 154 "
"130","robkardashian","7 331 940 "
"131","joerogan","7 322 213 "
"132","iansomerhalder","7 184 174 "
"133","JHarden13","7 115 444 "
"134","AnnaKendrick47","7 091 159 "
"135","AndreaRussett","7 050 161 "
"136","MirandaCosgrove","7 040 885 "
"137","LMFAO","6 961 853 "
"138","1future","6 936 649 "
"139","PostMalone","6 895 086 "
"140","EvaLongoria","6 894 587 "
"141","MissyElliott","6 875 098 "
"142","DonaldJTrumpJr","6 853 424 "
"143","KELLYROWLAND","6 829 059 "
"144","lucyhale","6 815 995 "
"145","mirandalambert","6 804 767 "
"146","VanessaHudgens","6 781 494 "
"147","Bourdain","6 726 699 "
"148","ScottDisick","6 720 071 "
"149","TomCruise","6 682 822 "
"150","russwest44","6 648 490 "
"151","bellathorne","6 629 258 "
"152","TigerWoods","6 585 632 "
"153","PrinceRoyce","6 552 727 "
"154","NeYoCompound","6 532 379 "
"155","jccaylen","6 497 955 "
"156","LilNasX","6 492 416 "
"157","StephenKing","6 490 793 "
"158","tylerperry","6 457 984 "
"159","DwightHoward","6 437 349 "
"160","Nashgrier","6 416 606 "
"161","Wale","6 347 448 "
"162","FLOTUS44","6 328 958 "
"163","gunsnroses","6 303 918 "
"164","theestallion","6 257 108 "
"165","JoyceMeyer","6 256 646 "
"166","JessicaSimpson","6 251 162 "
"167","RandyOrton","6 224 278 "
"168","Akon","6 222 569 "
"169","petewentz","6 159 415 "
"170","BillNye","6 151 297 "
"171","maryjblige","6 092 572 "
"172","JohnLegere","6 088 334 "
"173","MMFlint","6 055 582 "
"174","Skrillex","6 027 620 "
"175","billieeilish","6 015 323 "
"176","snooki","5 985 527 "
"177","Metallica","5 951 918 "
"178","linkinpark","5 911 545 "
"179","ZooeyDeschanel","5 889 217 "
"180","bretmanrock","5 756 836 "
"181","Imaginedragons","5 711 066 "
"182","BillSimmons","5 703 419 "
"183","icecube","5 683 635 "
"184","haashoficial","5 663 864 "
"185","RedHourBen","5 644 558 "
"186","JJWatt","5 639 469 "
"187","MikeTyson","5 629 622 "
"188","danawhite","5 623 497 "
"189","SteveCarell","5 623 094 "
"190","JVCKJ","5 618 417 "
"191","karliekloss","5 610 324 "
"192","dylanobrien","5 608 043 "
"193","jennettemccurdy","5 602 389 "
"194","DangeRussWilson","5 594 624 "
"195","PerezHilton","5 578 087 "
"196","youngthug","5 565 886 "
"197","tarajiphenson","5 531 908 "
"198","kerrywashington","5 529 846 "
"199","MatPatGT","5 504 270 "
"200","JeremyRenner","5 483 153 "
"201","jack","5 476 772 "
"202","common","5 441 256 "
"203","paramore","5 431 081 "
"204","stephenasmith","5 404 235 "
"205","StationCDRKelly","5 380 743 "
"206","jason_mraz","5 352 786 "
"207","seanhannity","5 350 199 "
"208","lenadunham","5 309 811 "
"209","OzzyOsbourne","5 303 560 "
"210","lildurk","5 303 471 "
"211","kevinjonas","5 280 126 "
"212","djkhaled","5 274 115 "
"213","souljaboy","5 258 260 "
"214","chrisrock","5 230 235 "
"215","DollyParton","5 228 055 "
"216","MagicJohnson","5 119 503 "
"217","NicoleScherzy","5 106 843 "
"218","Jenna_Marbles","5 083 282 "
"219","yelyahwilliams","5 033 400 "
"220","llcoolj","5 024 633 "
"221","alyankovic","5 009 723 "
"222","thegreatkhalid","4 984 265 "
"223","Tyga","4 978 825 "
"224","sethmeyers","4 975 928 "
"225","sza","4 964 810 "
"226","Schwarzenegger","4 949 787 "
"227","GreenDay","4 924 364 "
"228","official_flo","4 912 899 "
"229","TheAJMendez","4 894 536 "
"230","BethanyMota","4 830 408 "
"231","RealMikeWilbon","4 826 583 "
"232","thekillers","4 824 772 "
"233","LennyKravitz","4 772 449 "
"234","dylansprouse","4 767 657 "
"235","pattonoswalt","4 761 274 "
"236","RomeoSantosPage","4 740 096 "
"237","wojespn","4 734 425 "
"238","bep","4 730 752 "
"239","NickCannon","4 699 042 "
"240","steveaustinBSR","4 698 706 "
"241","Snowden","4 689 478 "
"242","DrakeBell","4 678 197 "
"243","HamillHimself","4 663 373 "
"244","johngreen","4 659 948 "
"245","RickRoss","4 659 677 "
"246","FifthHarmony","4 657 839 "
"247","yokoono","4 649 024 "
"248","iamjamiefoxx","4 646 311 "
"249","lala","4 624 151 "
"250","paulkrugman","4 618 261 "
"251","HilaryDuff","4 600 973 "
"252","WWEDanielBryan","4 592 136 "
"253","TimTebow","4 553 471 "
"254","blakegriffin23","4 516 734 "
"255","lizasoberano","4 516 299 "
"256","TuckerCarlson","4 507 764 "
"257","tonyhawk","4 503 692 "
"258","JonahHill","4 468 273 "
"259","amyschumer","4 466 868 "
"260","itsgabrielleu","4 466 413 "
"261","2chainz","4 459 994 "
"262","justdemi","4 454 895 "
"263","altonbrown","4 452 672 "
"264","UncleRUSH","4 452 407 "
"265","BishopJakes","4 447 247 "
"266","rainnwilson","4 434 314 "
"267","AaronRodgers12","4 424 361 "
"268","21savage","4 373 970 "
"269","nicolerichie","4 322 519 "
"270","BradPaisley","4 316 371 "
"271","WWERomanReigns","4 314 070 "
"272","LaurenJauregui","4 309 925 "
"273","JerrySeinfeld","4 308 932 "
"274","IAmSteveHarvey","4 293 547 "
"275","rachaelray","4 260 003 "
"276","bridgitmendler","4 254 385 "
"277","JaredLeto","4 231 113 "
"278","KeriHilson","4 224 998 "
"279","paulwesley","4 217 489 "
"280","KeithUrban","4 173 170 "
"281","DannyDeVito","4 150 085 "
"282","obj","4 138 434 "
"283","EricTrump","4 134 877 "
"284","solangeknowles","4 126 860 "
"285","myfabolouslife","4 121 604 "
"286","KevinSpacey","4 111 847 "
"287","twentyonepilots","4 110 369 "
"288","paulpierce34","4 097 175 "
"289","ShawnMichaels","4 053 921 "
"290","hitRECordJoe","4 045 020 "
"291","AshBenzo","4 021 765 "
"292","DebbyRyan","4 005 843 "
"293","TheRealStanLee","4 002 142 "
"294","RevRunWisdom","3 962 994 "
"295","MatthewEspinosa","3 948 546 "
"296","cher","3 922 692 "
"297","IAMJHUD","3 908 599 "
"298","markwahlberg","3 902 015 "
"299","alexmorgan13","3 888 551 "
"300","WWERollins","3 883 611 "
"301","DaRealAmberRose","3 838 189 "
"302","JoeyGraceffa","3 824 344 "
"303","Fergie","3 820 740 "
"304","BustaRhymes","3 812 243 "
"305","wyclef","3 804 346 "
"306","wwwbigbaldhead","3 795 247 "
"307","JanetJackson","3 770 003 "
"308","jasonderulo","3 759 907 "
"309","Nelly_Mo","3 755 560 "
"310","IngrahamAngle","3 733 478 "
"311","DJPaulyD","3 725 592 "
"312","scooterbraun","3 718 120 "
"313","OffsetYRN","3 716 302 "
"314","Jason_Aldean","3 697 775 "
"315","Alyssa_Milano","3 687 768 "
"316","RealLamarOdom","3 687 728 "
"317","MetroBoomin","3 680 434 "
"318","JordinSparks","3 616 158 "
"319","NateSilver538","3 608 731 "
"320","BellaTwins","3 590 581 "
"321","IAmJericho","3 589 236 "
"322","RachelZoe","3 572 774 "
"323","Lin_Manuel","3 567 782 "
"324","QuavoStuntin","3 527 258 "
"325","PearlJam","3 520 219 "
"326","MarthaStewart","3 512 766 "
"327","Migos","3 490 393 "
"328","Caitlyn_Jenner","3 488 126 "
"329","benshapiro","3 478 314 "
"330","RondaRousey","3 473 308 "
"331","DezBryant","3 472 570 "
"332","GuyFieri","3 457 908 "
"333","KellyOsbourne","3 431 329 "
"334","G_Eazy","3 430 289 "
"335","lilireinhart","3 417 181 "
"336","RollingStones","3 406 191 "
"337","jimjonescapo","3 399 982 "
"338","YG","3 388 530 "
"339","AnselElgort","3 374 067 "
"340","TheChainsmokers","3 369 828 "
"341","questlove","3 368 650 "
"342","OfficialWillow","3 368 591 "
"343","LizGillies","3 364 715 "
"344","RobertsEmma","3 364 553 "
"345","jaketapper","3 336 569 "
"346","joelmchale","3 332 652 "
"347","TheRealMikeEpps","3 316 749 "
"348","DAVID_LYNCH","3 304 221 "
"349","noaheverett","3 296 932 "
"350","ochocinco","3 276 360 "
"351","AaronCarpenter","3 272 721 "
"352","bigtimerush","3 264 793 "
"353","iambeckyg","3 261 653 "
"354","GeorgeTakei","3 248 371 "
"355","BillCosby","3 242 007 "
"356","MCHammer","3 237 585 "
"357","JimGaffigan","3 236 504 "
"358","KeshaRose","3 234 935 "
"359","charlieputh","3 226 759 "
"360","DeepakChopra","3 219 275 "
"361","Normani","3 218 200 "
"362","OneRepublic","3 216 040 "
"363","madisonbeer","3 208 741 "
"364","mikethemiz","3 200 156 "
"365","kevinlove","3 195 820 "
"366","drewbrees","3 191 856 "
"367","galifianakisz","3 187 967 "
"368","4everBrandy","3 176 001 "
"369","cala","3 158 647 "
"370","RobGronkowski","3 153 855 "
"371","kumailn","3 152 519 "
"372","TonyRobbins","3 149 601 "
"373","BenAffleck","3 148 969 "
"374","lancearmstrong","3 147 026 "
"375","BillOReilly","3 138 597 "
"376","StephMcMahon","3 129 088 "
"377","robdyrdek","3 110 796 "
"378","JENNIWOWW","3 106 532 "
"379","ThatKevinSmith","3 106 136 "
"380","foofighters","3 106 084 "
"381","RoddyRicch","3 103 183 "
"382","falloutboy","3 082 141 "
